Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Café com Propósito,https://goo.gl/maps/7gcVM1kzMyF1zUwj6,11:00:00,12:00:00,☕☕☕☕,💪💪💪💪,🔌
Teste,https://goo.gl/maps/7gcVM1kzMyF1zUwj6,11:00:00,22:00:00,☕☕☕☕,💪💪💪💪,🔌
Teste,https://goo.gl/maps/7gcVM1kzMyF1zUwj6,11:00 AM,10:00 AM,☕☕☕☕,💪💪💪💪,🔌
Teste,https://goo.gl/maps/7gcVM1kzMyF1zUwj6,11:00AM,10:00PM,☕☕☕☕,💪💪💪💪,🔌
Teste,https://goo.gl/maps/7gcVM1kzMyF1zUwj6,11:00AM,10:00PM,☕☕☕☕,💪💪💪💪,🔌
Teste,https://goo.gl/maps/7gcVM1kzMyF1zUwj6,11:00AM,10:00PM,☕☕☕☕,💪💪💪💪,🔌
GigaChad Café,https://goo.gl/maps/7gcVM1kzMyF1zUwj6,01:00AM,11:59PM,☕☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
GigaChad Café,https://youtu.be/LY6YVQr94dE,01:00AM,11:59PM,☕☕☕☕☕,💪💪💪💪💪,🔌🔌🔌🔌🔌
