Major,Degree Type,Early Career Pay,Mid-Career Pay,
Petroleum Engineering,Bachelors,93200,187300,
Operations Research & Industrial Engineering,Bachelors,84800,170400,
Electrical Engineering & Computer Science (EECS),Bachelors,108500,159300,
Interaction Design,Bachelors,68300,155800,
Public Accounting,Bachelors,59800,147700,
Operations Research,Bachelors,83500,147400,
Applied Economics and Management,Bachelors,66100,146400,
Business Computing (BC),Bachelors,73000,143600,
Actuarial Mathematics,Bachelors,64300,143400,
Electrical Power Engineering,Bachelors,76100,142600,
Information & Computer Science,Bachelors,58600,140900,
Aeronautics & Astronautics,Bachelors,77600,139600,
Systems Engineering,Bachelors,77700,139200,
Econometrics,Bachelors,64200,139000,
Pharmacy,Bachelors,68600,138700,
Aerospace Studies,Bachelors,55800,136600,
Building Science,Bachelors,53800,135900,
Chemical Engineering,Bachelors,76900,135900,
Cognitive Science,Bachelors,68700,135200,
Actuarial Science,Bachelors,67700,134400,
Political Economy,Bachelors,65100,133500,
Computer Systems Engineering,Bachelors,79000,133200,
Electrical & Computer Engineering (ECE),Bachelors,78100,131600,
Computer Science (CS) & Engineering,Bachelors,79400,131300,
Marine Engineering,Bachelors,79900,131300,
Aeronautical Engineering,Bachelors,74700,131100,
Computer Engineering (CE),Bachelors,79000,131000,
Naval Architecture & Marine Engineering,Bachelors,74400,130700,
Entrepreneurship & Marketing,Bachelors,51400,129800,
Corporate Accounting & Finance,Bachelors,65200,129700,
Mechatronics,Bachelors,72800,129600,
Nuclear Engineering,Bachelors,76400,129400,
Electrical Engineering (EE),Bachelors,75600,127700,
Foreign Affairs,Bachelors,54800,127700,
Marine Transportation Management,Bachelors,71100,127500,
Mechanical & Aeronautical Engineering,Bachelors,70900,126900,
Welding Engineering,Bachelors,81000,126600,
Instrumentation & Control Engineering,Bachelors,73100,126400,
Computational & Applied Mathematics,Bachelors,75500,126000,
Electrical & Electronics Engineering (EEE),Bachelors,74700,125800,
Aerospace Engineering,Bachelors,74300,125700,
Astronomy,Bachelors,66600,125400,
Optical Science & Engineering,Bachelors,71000,125400,
Quantitative Business Analysis,Bachelors,74000,125400,
Computer Science (CS) & Mathematics,Bachelors,70500,125100,
Industrial & Systems Engineering,Bachelors,73100,124800,
Economics and Mathematics,Bachelors,68200,124100,
Biomedical Engineering (BME),Bachelors,71300,123600,
Managerial Economics,Bachelors,65200,123600,
Computer Science (CS),Bachelors,75100,123400,
Physics & Astronomy,Bachelors,56500,123400,
Petroleum Land Management,Bachelors,59300,123100,
Bioscience,Bachelors,49200,123100,
Electronics & Communications Engineering,Bachelors,67400,122900,
Control Engineering,Bachelors,69700,122800,
Pharmacology,Bachelors,57700,122700,
Business Analysis,Bachelors,63200,122300,
Aeronautical Science & Engineering,Bachelors,56000,122200,
Metallurgical Engineering,Bachelors,81800,122200,
Engineering Science,Bachelors,67900,122100,
Applied Mathematics,Bachelors,68300,122000,
Chemical & Biomolecular Engineering,Bachelors,76800,121900,
Materials Science,Bachelors,67100,121800,
Engineering,Bachelors,69900,121700,
Ocean Engineering (OE),Bachelors,69400,121400,
Bioengineering (BioE),Bachelors,70900,121300,
Aeronautical/Aerospace Engineering Technology,Bachelors,76900,121200,
Integrated Science & Technology,Bachelors,65200,121100,
Operations Management & Information Systems,Bachelors,66100,120900,
Software Engineering,Bachelors,75000,120000,
Physics,Bachelors,65900,119700,
Quantitative Economics,Bachelors,65000,119600,
Computer & Information Science,Bachelors,63600,119500,
Geophysics,Bachelors,58000,119000,
Accounting & Economics,Bachelors,65900,118900,
Physician Assistant Studies,Bachelors,95900,118500,
Mining Engineering,Bachelors,78800,118300,
Construction Engineering Management,Bachelors,68800,118200,
Mechanical Engineering (ME),Bachelors,71000,117600,
Materials Science & Engineering,Bachelors,72700,117500,
Engineering Mechanics,Bachelors,75500,117400,
Industrial Engineering (IE),Bachelors,71900,117400,
International Business & Finance,Bachelors,61400,117400,
Accounting & Computer Systems,Bachelors,63000,117300,
Business & Information Technology (IT),Bachelors,60100,116900,
Applied Physics,Bachelors,67300,116500,
International Economics,Bachelors,58700,116300,
Business & Economics,Bachelors,59600,116200,
Ceramic Engineering,Bachelors,69200,115700,
Economics,Bachelors,62000,115700,
Pharmaceutical Sciences (PS),Bachelors,52800,115700,
Telecommunications Engineering,Bachelors,66400,115400,
Information & Decision Sciences,Bachelors,65200,115200,
Materials Engineering,Bachelors,72300,115200,
Paper Science,Bachelors,77000,115200,
Asian Studies,Bachelors,47700,115100,
Structural Engineering (SE),Bachelors,67800,115100,
Industrial Distribution,Bachelors,63600,115000,
Management Information Systems (MIS),Bachelors,65000,114100,
Electronics Engineering,Bachelors,69600,113900,
Finance & Economics,Bachelors,62600,113900,
Medical Science,Bachelors,52000,113800,
Japanese Studies,Bachelors,51500,113800,
Automotive Engineering,Bachelors,67300,113800,
Information Management,Bachelors,64300,112800,
Management Science,Bachelors,64600,112700,
Mechanical,Bachelors,70200,112700,
Construction Engineering,Bachelors,67300,112500,
Finance & Investments,Bachelors,64100,112400,
Mathematics & Statistics,Bachelors,63100,112400,
Information Systems Management,Bachelors,59200,112300,
Construction Project Management,Bachelors,61100,112200,
Engineering Management,Bachelors,69000,112200,
Packaging Science,Bachelors,70000,112200,
Industrial Engineering & Management,Bachelors,68300,112000,
Engineering Physics,Bachelors,70500,111800,
Energy Management,Bachelors,72300,111700,
Aeronautical Science,Bachelors,57700,111600,
Government,Bachelors,55100,111200,
Software Applications & Programming,Bachelors,59300,110800,
Astrophysics,Bachelors,69300,110700,
Bioenvironmental Science,Bachelors,47700,110500,
Japanese Language,Bachelors,53300,110300,
Business Economics,Bachelors,58400,110200,
Finance & Real Estate,Bachelors,63000,110200,
Manufacturing Engineering,Bachelors,69300,110000,
Atmospheric Science,Bachelors,48700,109900,
Cybersecurity,Bachelors,65600,109800,
Information Security & Assurance,Bachelors,61400,109300,
Medicine,Bachelors,60600,109200,
Civil Engineering (CE),Bachelors,65000,109000,
Environmental Health & Safety Management,Bachelors,61100,108800,
Mathematics,Bachelors,63500,108700,
Applied Economics,Bachelors,61400,108600,
Construction Science,Bachelors,67400,108500,
Political Communication,Bachelors,48800,108500,
Marketing & International Business,Bachelors,52500,108400,
Software Development,Bachelors,65500,108400,
Biochemistry & Molecular Biology,Bachelors,53900,108100,
Computing,Bachelors,63500,108000,
Construction Management,Bachelors,63200,108000,
Accounting & Taxation,Bachelors,55600,107800,
Building Construction (BC),Bachelors,67200,107800,
International & Comparative Politics,Bachelors,45700,107800,
Civil & Environmental Engineering,Bachelors,65300,107500,
Business Information Systems,Bachelors,65000,107400,
Financial Economics,Bachelors,63300,107200,
Sales & Business Marketing,Bachelors,55900,107200,
Plastics Engineering,Bachelors,68400,107100,
Information Technology Management,Bachelors,63400,107000,
Polymer Science & Engineering,Bachelors,74500,106900,
Informatics,Bachelors,70300,106800,
Computer Management Information Systems (CMIS),Bachelors,55700,106600,
Information Systems (IS),Bachelors,63900,106600,
Agricultural Economics,Bachelors,55600,106300,
Data Processing,Bachelors,65600,106200,
European Studies,Bachelors,47500,106100,
Biosystems Engineering,Bachelors,64700,106000,
Nuclear Engineering Technology (NET),Bachelors,83500,106000,
Economics & Political Science,Bachelors,57100,105700,
Global & International Studies,Bachelors,50000,105700,
Organic Chemistry,Bachelors,44500,105600,
Industrial Hygiene,Bachelors,58600,105500,
Safety Science,Bachelors,62400,105500,
Commerce,Bachelors,66800,105400,
Rhetoric,Bachelors,51600,105400,
Business Computer Information Systems (BCIS),Bachelors,64000,105300,
Finance,Bachelors,60200,105200,
Plastics Engineering Technology,Bachelors,66900,105100,
Molecular Biology,Bachelors,54100,105000,
Environmental Engineering,Bachelors,62600,104800,
International Management,Bachelors,54100,104800,
Computer Information Systems,Bachelors,59400,104700,
Corporate Finance,Bachelors,63600,104300,
Genetics,Bachelors,52200,104100,
International Business,Bachelors,55300,104100,
Agricultural Engineering (AE),Bachelors,63100,104000,
Consumer Economics,Bachelors,53700,103800,
Finance & Marketing,Bachelors,56800,103700,
Computer Information Systems (CIS),Bachelors,60500,103500,
Business Finance,Bachelors,57200,103300,
Psychobiology,Bachelors,49600,103100,
Strategic Management,Bachelors,66200,103100,
Construction Trades,Bachelors,61900,103100,
Operations Management (OM),Bachelors,61500,103000,
Entrepreneurship & Leadership,Bachelors,57100,102900,
Electrical Engineering Technology (EET),Bachelors,66300,102800,
Computer Science & Information Technology,Bachelors,66000,102700,
Food Marketing,Bachelors,56300,102700,
International Marketing,Bachelors,59000,102600,
Network Engineering,Bachelors,60700,102600,
Building Construction Management,Bachelors,61300,102400,
Engineering Technology (ET),Bachelors,58400,102300,
International Relations,Bachelors,52800,102200,
Management & Finance,Bachelors,56800,102200,
Information Security,Bachelors,66400,102200,
Business Operations,Bachelors,63500,102100,
Industrial Management,Bachelors,57800,102000,
Architectural Engineering,Bachelors,65000,101900,
Hotel Administration,Bachelors,64900,101900,
Manufacturing,Bachelors,57600,101500,
Agricultural Economics & Business,Bachelors,54900,101400,
Web Development,Bachelors,56400,101300,
Aviation,Bachelors,54000,101200,
Telecommunications Management,Bachelors,55000,101200,
Property Management,Bachelors,55200,101000,
Comparative Literature,Bachelors,48100,100900,
Construction Science & Management,Bachelors,64700,100800,
Biotechnology,Bachelors,53100,100700,
Industrial & Labor Relations,Bachelors,69800,100600,
Real Estate,Bachelors,59900,100600,
Mechanical Engineering Technology (MET),Bachelors,64200,100400,
Labor Relations,Bachelors,53000,100300,
Electronics,Bachelors,57500,100200,
Biochemistry (BCH),Bachelors,50400,99900,
Politics,Bachelors,53000,99900,
Accounting & Auditing,Bachelors,57800,99800,
Chinese Language,Bachelors,54200,99600,
Information Science (IS),Bachelors,66300,99500,
East Asian Studies,Bachelors,49800,99400,
Accounting & Finance,Bachelors,59200,99300,
Network Security,Bachelors,62300,99300,
Information Technology (IT),Bachelors,59100,99200,
Aviation Management,Bachelors,50900,99100,
Occupational Health and Safety,Bachelors,59900,99100,
Agribusiness,Bachelors,50700,98900,
Business & Marketing,Bachelors,51000,98900,
Computer Engineering Technology (CET),Bachelors,63000,98900,
Computer Security,Bachelors,68100,98700,
Operations & Supply Chain Management,Bachelors,61300,98600,
Entomology,Bachelors,45900,98500,
Music Production & Engineering,Bachelors,43100,98400,
Industrial Engineering Technology,Bachelors,67200,98400,
Logistics & Supply Chain Management,Bachelors,59000,98300,
Supply Chain Management,Bachelors,61700,98300,
Accounts,Bachelors,59800,98300,
Economics & Management,Bachelors,54400,98200,
Environmental Policy Analysis & Planning,Bachelors,51000,98200,
Physical Therapy,Bachelors,55500,98200,
European History,Bachelors,52300,98000,
Robotics & Automation,Bachelors,66100,98000,
Geological Engineering,Bachelors,61700,97900,
Manufacturing Technology,Bachelors,59900,97900,
Chemistry,Bachelors,51600,97500,
Business Logistics & Transportation,Bachelors,56400,97400,
Food Science & Technology,Bachelors,53100,97300,
City & Regional Planning,Bachelors,51800,97200,
Civil Engineering Technology (CET),Bachelors,58300,97200,
Electronics Engineering Technology (EET),Bachelors,64300,97100,
English & Psychology,Bachelors,42600,97100,
Finance & Banking,Bachelors,55300,97100,
Mechanical Design,Bachelors,60900,97100,
Applied Technology,Bachelors,55500,97000,
Marketing & Management,Bachelors,50000,96900,
Technical & Scientific Communication,Bachelors,50700,96800,
Financial Planning,Bachelors,54000,96600,
Organizational Behavior,Bachelors,57000,96600,
Marketing,Bachelors,51700,96600,
Dairy Science,Bachelors,51200,96200,
Project Management,Bachelors,56800,96200,
Government & International Politics (GVIP),Bachelors,51300,96100,
Latin American Studies,Bachelors,46700,96100,
Industrial Design (ID),Bachelors,55100,95900,
Web Design & Development,Bachelors,53100,95900,
Computing & Information Systems (CIS),Bachelors,58100,95800,
Electromechanical Engineering,Bachelors,70500,95800,
Industrial Technology (IT),Bachelors,62200,95800,
